Player,Pos,Squad,90s,Assists,Expected Goals Assists,Expected Assists,Assists Overperformance,Key Passes,Passes into final third,Passes into penalty box,Crosses into penalty box,Progressive passes,Shot-created Actions,Goal-created Actions,Touches in Mid 3rd,Touches in Attacking 3rd,Touches in penalty box,Attempted Take-ons,Take-ons Success %,Carries,Progressive Distance,Progressive Carries,Progressive Passes Received
Taylor Otto,"DF,MF",Melb City,21.3,0,0.04,0.06,-0.04,0.52,5.68,0.23,0.05,5.16,1.46,0.19,34.1,4.74,1.03,1.13,66.7,43.1,107.3,0.7,0.66
Hollie Palmer,MF,Brisbane,15.1,0.13,0.1,0.11,0.03,1.06,3.51,0.86,0.13,4.97,2.19,0.26,25,15.7,1.13,1.06,62.5,22.5,35.8,0.33,2.19
Chrissy Panagaris,"FW,MF",Adelaide Utd,1.1,0,0.09,0,-0.09,1.82,2.73,0,0,0.91,2.73,0,20,26.4,4.55,0.91,100,29.1,35.5,0.91,10
Stacey Papadopoulos,DF,Western United,20.1,0.1,0.09,0.06,0,0.9,4.98,1.39,0.4,5.32,2.04,0.2,30.6,16.5,0.45,1.94,59,33.3,97.4,1.99,2.99
Susan Phonsongkham,"MF,FW",Perth,16.9,0.06,0.1,0.11,-0.04,0.95,1.42,0.89,0.18,1.95,1.89,0.12,18.8,15,2.84,3.85,49.2,24,67.6,2.13,4.26
Ava Piazza,"MF,DF",Canberra Utd,2.7,0,0,0.04,0,0.74,1.11,0.37,0,2.59,1.48,0,14.1,5.56,0,0.37,0,18.5,57.8,1.11,0.37
Rhianna Pollicina,"MF,FW",Melb City,19.2,0.16,0.24,0.22,-0.08,1.56,3.07,1.35,0.05,5.78,3.44,0.42,17.6,25.8,4.79,1.09,38.1,28.2,68.2,2.03,7.45
Avaani Prakash,"MF,FW",Western United,4,0,0.03,0.03,-0.03,0.25,1.75,0,0,2,1.5,0,18.8,16.5,3.25,4,37.5,20.3,33,0.25,4.25
Olivia Price,MF,W Sydney,15.1,0.07,0.09,0.12,-0.02,1.19,2.25,0.86,0.13,3.51,2.52,0.07,22.6,14.4,1.26,1.79,55.6,20.1,38.7,0.66,2.25
Natasha Prior,DF,Newcastle,20.5,0,0.01,0.01,-0.01,0.2,2.39,0.1,0.05,2.73,0.63,0.15,19.3,1.61,0.59,0.59,91.7,22,53.8,0.44,0.24
Lia Privitelli,"FW,MF",Melb Victory,4.9,0.2,0.16,0.16,0.04,1.02,0.61,1.43,0.2,2.45,2.24,0.2,14.5,18.4,3.67,2.04,30,21.2,64.3,2.65,7.76
Lysianne Proulx,GK,Melb City,14,0,0,0,0,0.07,0.14,0,0,0,0,0,0.07,0,0,0,,24.2,57.7,0,0
Quinley Quezada,"FW,MF",Perth,12.1,0.08,0.06,0.05,0.02,0.58,1.32,0.58,0.08,1.98,1.07,0.25,15.9,10.3,1.74,1.16,35.7,18.2,35.6,0.74,3.64
Tess Quilligan,MF,Central Coast Mariners,5,0,0.08,0.08,-0.08,1,3,0.4,0.2,5.2,2.2,0.2,24,6.6,0.2,1.4,57.1,16.8,22.6,0.8,1.4
Jamilla Rankin,DF,Melb Victory,22,0.23,0.1,0.1,0.13,1.18,3.18,1.27,0.73,4.45,2.55,0.45,28.8,16.3,0.36,1.18,53.8,28.3,67.4,1.23,3.73
Annalise Rasmussen,"FW,MF",Central Coast Mariners,3.8,0,0.16,0.05,-0.16,1.58,2.37,0.26,0,2.11,3.42,0.26,20,14.2,5,4.47,23.5,22.4,46.8,1.84,6.58
Taylor Ray,MF,Sydney,11.3,0.18,0.1,0.07,0.08,1.24,5.49,0.97,0.27,6.19,2.65,0.35,31.1,13.5,0.18,0.35,50,23.4,29.9,0.18,2.57
Keeley Richards,GK,Brisbane,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,78.3,0,0
Lucy Richards,"MF,FW",Western United,1.5,0.67,0.33,0.47,0.33,2.67,2.67,2.67,1.33,4,4,0.67,13.3,21.3,2.67,4,50,28.7,66.7,4,9.33
Natasha Rigby,DF,Perth,22,0.05,0.05,0.05,0,0.55,2.5,0.59,0.36,2.68,1.18,0.09,23.8,14,1.05,0.68,40,23.5,68.4,1.86,3.09
Emma Robers,"MF,FW",Western United,7.6,0.13,0.05,0.03,0.08,1.32,4.08,0.53,0,5.66,2.63,0.13,25.7,11.3,1.32,1.05,12.5,23.8,27,0.79,3.95
Michaela Robertson,"FW,DF",Wellington Phoenix FC,4,0.25,0.1,0.05,0.15,1.25,1,0.75,0.5,0.25,3,0.5,16.5,17.5,4.75,3.5,35.7,24,74,3.5,6.75
Tiahna Robertson,,Newcastle,1,0,,,,,,,,,,,,,,,,,,,
Karly Roestbakken,DF,Melb City,10.9,0.09,0.01,0.05,0.08,0.28,4.86,1.19,0.28,4.59,0.83,0.09,31.4,10.6,0.18,1.01,63.6,44.8,143.2,1.83,1.28
Cushla Rue,"DF,FW",W Sydney,17.8,0.28,0.13,0.11,0.15,0.96,1.29,1.07,0.56,2.42,2.64,0.34,19.1,23.3,2.25,2.75,28.6,24,62.5,1.8,5.62
Sofia Sakalis,"MF,FW",Perth,11.7,0.17,0.12,0.09,0.05,0.94,2.48,1.28,0.26,3.85,2.22,0.51,19.7,12.1,1.45,2.82,30.3,23.9,63.9,1.88,3.42
Julia Sardo,DF,Western United,8.6,0,0.13,0.16,-0.13,0.7,4.42,1.51,0.7,5.93,1.51,0.12,30.7,15.1,0.81,0.7,66.7,28.6,75.1,1.4,2.21
Nanako Sasaki,MF,Adelaide Utd,18.3,0.05,0.08,0.08,-0.03,1.15,5.41,0.44,0.11,5.19,2.02,0.11,33.6,8.36,0.33,1.64,60,27.5,62.8,0.82,0.87
Sienna Saveska,"MF,DF",Sydney,0.6,0,0.17,0,-0.17,1.67,3.33,0,0,3.33,3.33,0,35,28.3,5,5,33.3,31.7,48.3,1.67,0
Jaclyn Sawicki,MF,Western United,20,0.1,0.08,0.07,0.02,0.95,2.4,0.6,0.05,4.4,2.45,0.35,25,12.9,1.8,1.3,69.2,24.9,55,0.9,2.8
Leah Scarpelli,DF,Brisbane,16.9,0.06,0.05,0.04,0.01,0.53,4.67,0.47,0.12,4.67,1.89,0.18,31.6,6.39,1.01,1.6,55.6,33.1,97.3,0.83,0.53
Jessica Seaman,DF,Sydney,2,0,0,0,0,0,2,0,0,2.5,0,0,17,2.5,1,0.5,0,16.5,48.5,0,0.5
Jordan Silkowitz,GK,Brisbane,19,0,0,0.01,0,0,0.79,0.05,0,0.05,0.16,0,0.74,0,0,0,,21.3,51.4,0,0
Gema Simon,"DF,FW",Newcastle,0.5,0,0.4,0.4,-0.4,2,2,2,2,2,4,0,14,16,4,0,,22,32,2,12
Kyah Simon,"MF,FW",Central Coast Mariners,4.9,0.2,0.06,0.1,0.14,0.82,2.86,1.22,0,4.08,3.06,0.61,21.4,20.2,6.73,1.02,40,20.4,33.7,1.22,5.31
Lillian Skelly,DF,Canberra Utd,0.1,0,0,0,0,0,10,0,0,0,0,0,40,50,10,0,,60,50,0,20
Mariana Speckmaier,FW,Wellington Phoenix FC,17.2,0.12,0.14,0.11,-0.02,1.1,0.99,0.58,0.17,2.33,3.26,0.47,15.4,17.8,4.53,3.2,50.9,20.8,51,2.09,6.8
Mary Stanic-Floody,MF,Canberra Utd,14,0.07,0.07,0.08,0,0.64,3.93,0.5,0,4.43,1.29,0.21,19.1,9.36,0.57,0.71,60,17.7,33.6,0.36,0.71
Kijah Stephenson,"FW,MF",Brisbane,13.7,0,0.12,0.1,-0.12,1.09,2.12,0.95,0.29,3.58,2.41,0.07,15.8,14.5,2.04,2.7,32.4,22,60.2,2.04,2.85
Tia Stonehill,FW,Perth,0.6,0,,,,,,,,,,,,,,,,,,,
Rebekah Stott,DF,Melb City,18.7,0.05,0.04,0.05,0.01,0.43,7.81,0.91,0.05,6.9,1.6,0.21,41.1,5.35,0.53,1.02,47.4,56.7,183.2,1.02,0.21
Caley Tallon-Henniker,"FW,MF",Sydney,2.9,0,0.03,0.03,-0.03,1.03,0.69,1.03,0.34,2.07,3.45,0.34,13.1,16.9,4.83,2.07,50,22.8,84.1,4.14,9.66
Adriana Taranto,"MF,FW",Western United,17.7,0.11,0.1,0.14,0.01,1.02,1.92,1.19,0.45,3.73,2.6,0.34,20.8,17.6,2.77,3.28,56.9,23.9,57.9,2.03,5.14
Melissa Taranto,MF,Western United,19.4,0.15,0.1,0.13,0.05,0.57,3.66,0.46,0.15,4.33,1.91,0.36,27.8,10.9,1.03,2.53,46.9,26.4,48.9,1.13,1.49
Kate Taylor,"MF,DF",Wellington Phoenix FC,15.2,0,0.05,0.03,-0.05,0.46,3.16,0.39,0.07,4.01,1.32,0.2,34,6.78,1.32,1.45,54.5,24.8,56.3,0.79,1.45
Rosetta Taylor,"MF,FW",Adelaide Utd,3.4,0,0.12,0.06,-0.12,0.88,1.47,0.59,0,2.35,0.88,0,22.4,13.5,2.35,1.76,16.7,24.7,31.5,0.88,6.18
Miranda Templeman,GK,Melb Victory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
