Name,Club,Position,Transfer age,Transfer year,Transfer price
Strahinja Pavlovic,Milan,Centre back,23,2024,18000000
Alvaro Morata,Milan,Striker,31,2024,13000000
Alex Jimenez,Milan,Full back,19,2024,5000000
Samuel Chukwueze,Milan,Winger,24,2023,20000000
Christian Pulisic,Milan,Winger,24,2023,20000000
Yunus Musah,Milan,Central midfielder,20,2023,20000000
Tijjani Reijnders,Milan,Central midfielder,24,2023,19000000
Ruben Loftus-Cheek,Milan,Central midfielder,27,2023,18500000
Noah Okafor,Milan,Winger,23,2023,14000000
Filippo Terracciano,Milan,Full back,20,2024,4500000
Marco Pellegrino,Milan,Centre back,21,2023,3500000
Charles De Ketelaere,Milan,Attacking midfielder,21,2022,36500000
Malick Thiaw,Milan,Centre back,21,2022,8800000
Junior Messias,Milan,Winger,31,2022,6200000
Alessandro Florenzi,Milan,Full back,31,2022,2650000
Devis Vazquez,Milan,Goalkeeper,24,2023,810000
Fikayo Tomori,Milan,Centre back,23,2021,34400000
Mike Maignan,Milan,Goalkeeper,25,2021,16400000
Sandro Tonali,Milan,Defensive midfielder,21,2021,15750000
Yacine Adli,Milan,Central midfielder,21,2021,8750000
Fode Ballo-Toure,Milan,Full back,24,2021,5400000
Olivier Giroud,Milan,Striker,34,2021,4800000
Marko Lazetic,Milan,Striker,18,2022,4500000
Alexis Saelemaekers,Milan,Winger,21,2020,7650000
Ante Rebic,Milan,Winger,26,2020,6700000
Jens Petter Hauge,Milan,Winger,20,2020,4800000
Simon Kjaer,Milan,Centre back,31,2020,3680000
Pierre Kalulu,Milan,Centre back,20,2020,1390000
Ciprian Tatarusanu,Milan,Goalkeeper,34,2020,1000000
Rafael Leao,Milan,Winger,20,2019,49500000
Franck Kessie,Milan,Defensive midfielder,22,2019,32000000
Theo Hernandez,Milan,Full back,21,2019,22800000
Ismael Bennacer,Milan,Defensive midfielder,21,2019,17200000
Leo Duarte,Milan,Centre back,23,2019,10600000
Rade Krunic,Milan,Defensive midfielder,25,2019,8600000
Lucas Paqueta,Milan,Attacking midfielder,21,2019,38400000
Mattia Caldara,Milan,Centre back,24,2018,37740000
Krzysztof Piatek,Milan,Striker,23,2019,35000000
Nikola Kalinic,Milan,Striker,30,2018,22500000
Samu Castillejo,Milan,Winger,23,2018,21300000
Diego Laxalt,Milan,Full back,25,2018,19000000
Fabio Borini,Milan,Winger,27,2018,5500000
Leonardo Bonucci,Milan,Centre back,30,2017,42000000
Andre Silva,Milan,Striker,21,2017,38000000
Andrea Conti,Milan,Full back,23,2017,24000000
Hakan Calhanoglu,Milan,Defensive midfielder,23,2017,23300000
Lucas Biglia,Milan,Defensive midfielder,31,2017,19700000
Mateo Musacchio,Milan,Centre back,26,2017,18000000
Ricardo Rodriguez,Milan,Full back,24,2017,15000000
Antonio Donnarumma,Milan,Goalkeeper,27,2017,980000
Gustavo Gomez,Milan,Centre back,23,2016,9560000
Gianluca Lapadula,Milan,Striker,26,2016,9500000
Jose Sosa,Milan,Central midfielder,31,2016,7500000
Carlos Bacca,Milan,Striker,28,2015,33300000
Alessio Romagnoli,Milan,Centre back,20,2015,25000000
Andrea Bertolacci,Milan,Central midfielder,24,2015,21000000
Luiz Adriano,Milan,Striker,28,2015,14000000
Luca Antonelli,Milan,Full back,28,2015,4500000
Juraj Kucka,Milan,Central midfielder,28,2015,4000000
Simone Verdi,Milan,Attacking midfielder,22,2015,450000
Matteo Pessina,Milan,Central midfielder,18,2015,30000
Giacomo Bonaventura,Milan,Central midfielder,25,2014,5300000
Adil Rami,Milan,Centre back,28,2014,4250000
Gabriel Paletta,Milan,Centre back,28,2015,2500000
Susu,Milan,Winger,21,2015,1300000
Fernando Torres,Milan,Striker,30,2014,1000000
Michelangelo Albertazzi,Milan,Full back,23,2014,550000
Robin Le Normand,Atletico,Centre back,27,2024,34500000
Antoine Griezmann,Atletico,Striker,32,2023,22000000
Arthur Vermeeren,Atletico,Central midfielder,18,2024,18000000
Samu Omorodion,Atletico,Striker,19,2023,6000000
Javi Galan,Atletico,Full back,28,2023,5000000
Santiago Mourino,Atletico,Centre back,21,2023,2700000
Horatiu Moldovan,Atletico,Goalkeeper,26,2024,800000
Nahuel Molina,Atletico,Full back,24,2022,20000000
Samuel Lino,Atletico,Winger,22,2022,6500000
Memphis Depay,Atletico,Striker,28,2023,3000000
Rodrigo de Paul,Atletico,Central midfielder,27,2021,35000000
Matheus Cunha,Atletico,Striker,22,2021,35000000
Reinildo Mandava,Atletico,Full back,28,2022,3000000
Daniel Wass,Atletico,Central midfielder,32,2022,2700000
Alvaro Morata,Atletico,Striker,27,2020,35000000
Yannick Carrasco,Atletico,Winger,27,2020,27000000
Geoffrey Kondogbia,Atletico,Defensive midfielder,27,2020,16000000
Luis Suarez,Atletico,Striker,33,2020,9000000
Ivo Grbic,Atletico,Goalkeeper,24,2021,3500000
Joao Felix,Atletico,Striker,19,2019,127200000
Marcos Llorente,Atletico,Central midfielder,24,2019,30000000
Mario Hermoso,Atletico,Centre back,24,2019,25000000
Kieran Trippier,Atletico,Full back,28,2019,22000000
Renan Lodi,Atletico,Full back,21,2019,21750000
Felipe,Atletico,Centre back,30,2019,20000000
Nicolas Ibanez,Atletico,Striker,24,2019,900000
Ivan Saponjic,Atletico,Striker,21,2019,500000
Thomas Lemar,Atletico,Attacking midfielder,22,2018,72000000
Gelson Martins,Atletico,Winger,23,2018,22000000
Rodri,Atletico,Defensive midfielder,22,2018,20000000
Nikola Kalinic,Atletico,Striker,30,2018,14500000
Santiago Arias,Atletico,Full back,26,2018,11000000
Jonny Otto,Atletico,Full back,24,2018,7000000
Nehuen Perez,Atletico,Centre back,18,2018,2000000
Antonio Adan,Atletico,Goalkeeper,31,2018,1500000
Diego Costa,Atletico,Striker,29,2018,60000000
Vitolo,Atletico,Winger,27,2017,35600000
Kevin Gameiro,Atletico,Striker,29,2016,32000000
Nico Gaitan,Atletico,Attacking midfielder,28,2016,25000000
Sime Vrsaljko,Atletico,Full back,24,2016,14000000
Diogo Jota,Atletico,Winger,19,2016,7000000
Axel Werner,Atletico,Goalkeeper,20,2016,800000
Jackson Martinez,Atletico,Striker,28,2015,35000000
Luciano Vietto,Atletico,Striker,21,2015,20000000
Filipe Luis,Atletico,Full back,29,2015,16000000
Yannick Carrasco,Atletico,Winger,21,2015,15000000
Stefan Savic,Atletico,Centre back,24,2015,12000000
Matias Kranevitter,Atletico,Defensive midfielder,22,2015,6000000
Bernard Mensah,Atletico,Attacking midfielder,20,2015,6000000
Rafael Borre,Atletico,Striker,19,2015,5000000
Augusto Fernandez,Atletico,Central midfielder,29,2016,4000000
Antoine Griezmann,Atletico,Striker,23,2014,30000000
Mario Mandzukic,Atletico,Striker,28,2014,22000000
Jan Oblak,Atletico,Goalkeeper,21,2014,16000000
Alessio Cerci,Atletico,Winger,27,2014,14000000
Raul Jimenez,Atletico,Striker,23,2014,10500000
Angel Correa,Atletico,Winger,19,2015,10500000
Guilherme Siqueira,Atletico,Full back,28,2014,10000000
Miguel Moya,Atletico,Goalkeeper,30,2014,3000000
Jesus Gamez,Atletico,Full back,29,2014,2000000
Emiliano Velazquez,Atletico,Centre back,20,2014,1000000
Andre Moreira,Atletico,Goalkeeper,18,2014,350000
Archie Gray,Tottenham,Full back,18,2024,41250000
Lucas Bergvall,Tottenham,Central midfielder,18,2024,10000000
Min-hyeok Yang,Tottenham,Winger,18,2024,4150000
Brennan Johnson,Tottenham,Winger,22,2023,55000000
James Maddison,Tottenham,Attacking midfielder,26,2023,46300000
Pedro Porro,Tottenham,Full back,23,2023,40000000
Micky van de Ven,Tottenham,Centre back,22,2023,40000000
Dejan Kulusevski,Tottenham,Winger,23,2023,30000000
Radu Dragusin,Tottenham,Centre back,21,2024,25000000
Guglielmo Vicario,Tottenham,Goalkeeper,26,2023,18500000
Alejo Veliz,Tottenham,Striker,19,2023,15000000
Ashley Phillips,Tottenham,Centre back,18,2023,2300000
Richarlison,Tottenham,Striker,25,2022,58000000
Cristian Romero,Tottenham,Centre back,24,2022,52000000
Yves Bissouma,Tottenham,Defensive midfielder,25,2022,29200000
Destiny Udogie,Tottenham,Full back,19,2022,18000000
Djed Spence,Tottenham,Full back,21,2022,14700000
Bryan Gil,Tottenham,Winger,20,2021,25000000
Emerson Royal,Tottenham,Full back,22,2021,25000000
Rodrigo Bentancur,Tottenham,Central midfielder,24,2022,19000000
Pape Matar Sarr,Tottenham,Central midfielder,18,2021,16900000
Giovani Lo Celso,Tottenham,Attacking midfielder,24,2020,32000000
Sergio Reguilon,Tottenham,Full back,23,2020,30000000
Matt Doherty,Tottenham,Full back,28,2020,16800000
Pierre-Emile Hojbjerg,Tottenham,Defensive midfielder,25,2020,16600000
Joe Rodon,Tottenham,Centre back,22,2020,12100000
Tanguy Ndombele,Tottenham,Central midfielder,22,2019,62000000
Steven Bergwijn,Tottenham,Winger,22,2020,30000000
Ryan Sessegnon,Tottenham,Full back,19,2019,27000000
Jack Clarke,Tottenham,Winger,18,2019,11000000
Davinson Sanchez,Tottenham,Centre back,21,2017,42000000
Lucas Moura,Tottenham,Winger,25,2018,28400000
Serge Aurier,Tottenham,Full back,24,2017,25000000
Fernando Llorente,Tottenham,Striker,32,2017,15100000
Juan Foyth,Tottenham,Full back,19,2017,10500000
Moussa Sissoko,Tottenham,Central midfielder,27,2016,35000000
Vincent Janssen,Tottenham,Striker,22,2016,22000000
Victor Wanyama,Tottenham,Defensive midfielder,25,2016,14400000
Georges-Kevin N'Koudou,Tottenham,Winger,21,2016,11000000
Heung-min Son,Tottenham,Winger,23,2015,30000000
Toby Alderweireld,Tottenham,Centre back,26,2015,16000000
Clinton N'Jie,Tottenham,Winger,22,2015,14100000
Kevin Wimmer,Tottenham,Centre back,22,2015,6000000
Kieran Trippier,Tottenham,Full back,24,2015,4900000
Ben Davies,Tottenham,Full back,21,2014,12650000
Federico Fazio,Tottenham,Centre back,27,2014,10000000
Dele Alli,Tottenham,Attacking midfielder,18,2015,6630000
Benjamin Stambouli,Tottenham,Defensive midfielder,24,2014,5900000
Michel Vorm,Tottenham,Goalkeeper,30,2014,5700000
Eric Dier,Tottenham,Centre back,20,2014,5000000
DeAndre Yedlin,Tottenham,Full back,21,2014,2600000
