Player;Position;Minutes played;Assists per 90;xA per 90;Deep completions per 90;Key passes per 90;Crosses per 90;Accurate crosses, %;Deep completed crosses per 90;Passes per 90;Accurate passes, %;Accurate progressive passes, %;Accurate passes to final third, %;Accurate passes to penalty area, %;Dribbles per 90;Successful dribbles, %;Progressive runs per 90;Offensive duels won, %;Defensive duels won, %;PAdj Sliding tackles;PAdj Interceptions
A. Masina;LB;943;0;0.07;0.1;0.19;1.72;44.44;0.76;30.06;73.33;76.19;53.33;36;0.76;37.5;0.38;30;59.52;0.44;6.86
J. Ngakia;RB;543;0;0;0.83;0;1.66;30;0.5;30;75.69;71.67;80.49;50;3.48;38.1;0.99;39.29;58.73;0.21;8.01
A. Cresswell;LB;1331;0.07;0.08;0.41;0.2;3.45;17.65;0.74;52.81;82.59;83.03;68.8;29.27;1.28;63.16;1.22;48.48;68.24;0.33;4.8
C. Taylor;LB;1551;0.06;0.1;0.35;0.46;3.42;30.51;1.04;32.96;71.3;72.85;50;38.6;3.19;54.55;1.8;49.14;53.19;0.68;9.8
S. Coleman;RB;1366;0;0.05;0.79;0.26;1.65;40;0.66;33.73;78.91;78.86;67.59;45.24;2.77;64.29;1.05;49.43;68.7;0.16;4.8
Javi Manquillo;RB;1130;0.08;0.03;0;0.08;0.88;27.27;0.24;19.59;76.83;58.33;75;20;1.19;53.33;0.32;40.74;65.22;0.44;4.02
N. Clyne;RB;101;0;0;0;0;0;0;0;26.73;73.33;25;25;0;0.89;0;0.89;0;60;0;7.78
Kiko Femenía;RB;923;0.2;0.13;0.29;0.39;2.34;16.67;0.49;31.79;72.09;60;68.18;30;0.88;55.56;0.68;44;67.12;0.12;7.38
J. Shackleton;RB;679;0;0.01;0.13;0;0.93;14.29;0;40.29;88.82;78.26;71.88;50;1.99;53.33;1.33;48.57;65.71;0.4;5.96
C. Roberts;RB;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45
B. Johnson;RB;865;0;0.01;0.31;0;2.81;40.74;1.35;36.21;74.43;66.67;52.54;48.28;2.29;54.55;1.56;35.14;56.06;0;7.44
D. Rose;LB;751;0;0.02;0.48;0.12;1.68;35.71;0.36;26.13;73.39;71.01;65.91;50;2.16;61.11;1.08;63.33;67.11;1.24;4.56
S. Byram;RB;152;0;0.32;0.59;0;1.78;33.33;0.59;30.79;73.08;41.67;50;66.67;0.59;100;0;20;64.29;1.88;15
J. Ward;RB;1855;0;0.01;0.24;0.15;1.65;26.47;0.39;46.33;81.47;66.08;63.85;34.21;1.55;50;0.87;41.67;64.63;0.27;7.95
M. Lowton;RB;1628;0.11;0.1;0.77;0.55;2.32;38.1;0.94;31.4;71.83;73.62;56.39;48.15;1.11;70;0.72;42.86;65.49;0.43;6.83
A. Young;LB;803;0.11;0.06;0.45;0;1.57;21.43;0.22;28.8;80.93;75.56;69.23;40;1.46;69.23;1.91;62.5;57.5;0.43;2.73
C. Drameh;RB;141;0;0;0;0;1.91;33.33;0.64;35.11;74.55;38.46;100;66.67;1.28;50;1.91;28.57;58.33;0.86;4.29
E. Pieters;LB;131;0;0;0;0;2.06;0;0;29.54;69.77;45.45;25;0;0.69;0;0.69;0;60;0;4.04
B. Mumba;LB;49;0;0;0;0;0;0;0;18.37;80;50;0;100;1.84;0;0;0;66.67;0;11.67
H. Ashby;RB;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
