Player;Pos;90s;Touches;Received passes;Touches per received pass;Progressive passes
Fabian Delph;MF;2.8;57.5;33.93;;4.64
Leander Dendoncker;MF,FW;8.8;48.86;29.2;1.67;1.82
Emmanuel Dennis;FW,MF;15.4;38.12;25.45;1.5;1.75
Kiernan Dewsbury Hall;MF;4.9;67.76;43.67;;3.27
Ibrahima Diallo;MF;8.1;49.38;33.83;1.46;2.72
Raphael Dias Belloli;MF,FW;17;57.47;37.65;1.53;5.41
Rúben Dias;DF;18.7;89.14;71.5;1.25;3.85
Eric Dier;DF;17.1;68.83;49.18;1.4;3.51
Lucas Digne;DF;1;61;40;;4
Lucas Digne;DF;13;63.31;29.62;2.14;3.77
Virgil van Dijk;DF;19;79.63;54.89;1.45;3.05
Issa Diop;DF;8;46.75;28.12;1.66;1.38
Moussa Djenepo;MF;4.8;48.96;29.58;;4.17
Lewis Dobbin;FW,MF;0.4;32.5;20;;2.5
Matt Doherty;DF;1.1;92.73;51.82;;6.36
Gabriel Dos Santos;DF;16.4;62.13;45.91;1.35;1.52
Abdoulaye Doucouré;MF;15;49.13;28.2;1.74;3.8
Kieran Dowell;FW,MF;3.8;39.47;26.58;;1.32
Cody Drameh;DF;1.4;67.14;30;;4.29
Martin Dúbravka;GK;8;38.25;13;;0
Shane Duffy;DF;12.9;71.4;50.62;1.41;1.4
Paul Dummett;DF;1;54;28;;1
Lewis Dunk;DF;14;80.21;60.36;1.33;1.79
Ederson;GK;21;30.9;18.43;;0.05
Odsonne Édouard;FW;12.2;40.41;28.28;1.43;2.13
Anthony Elanga;FW,MF;1.1;50.91;32.73;;1.82
Harvey Elliott;MF;2.8;79.64;60.36;;9.29
Mohamed Elneny;MF;2;65.5;45;;1
Mohamed Elyounoussi;MF;10.1;42.48;28.61;1.48;2.38
Emerson;DF;13.3;73.68;41.05;1.79;3.31
Oghenekaro Etebo;MF;4.1;43.9;25.61;;2.68
Jonny Evans;DF;8.4;67.26;40.24;1.67;2.38
Eberechi Eze;FW,MF;1.1;60.91;43.64;;0.91
Łukasz Fabiański;GK;22;27.32;9.95;;0
Fabinho;MF;13.9;69.35;46.26;1.5;4.46
Kiko Femenía;DF;9.7;59.38;25.15;2.36;3.2
Nathan Ferguson;DF;0.1;50;10;;0
Bruno Fernandes;MF;17.6;67.73;49.43;1.37;5.62
Álvaro Fernández;GK;12;44.42;22.75;;0.08
Federico Fernández;DF;5.8;46.21;30.17;;1.38
Fernandinho;MF;5.8;81.9;63.97;;5.17
Roberto Firmino;FW,MF;5.7;58.25;44.04;;3.16
Junior Firpo;DF;10.3;63.5;35.92;1.77;4.08
Ashley Fletcher;FW;0.3;60;26.67;;3.33
Phil Foden;FW;11.2;62.86;48.93;1.28;3.3
Pablo Fornals;MF,FW;16.8;52.02;36.37;1.43;5.36
Adam Forshaw;MF;9.5;53.05;34.11;1.56;2.84
Marcus Forss;FW,MF;2.2;27.27;16.82;;1.82
Fraser Forster;GK;4;36;12.5;;0
Ben Foster;GK;9;36.33;14;;0
Ryan Fraser;MF,FW;7.5;34.27;22.93;1.49;0.67
Fred;MF;14;68.64;45.64;1.5;4.29
Ryan Fredericks;DF;0;0;0;;0
Leo Fuhr Hjelde;DF;0.8;68.75;36.25;;3.75
Conor Gallagher;MF;17.4;52.41;31.15;1.68;2.24
Dwight Gayle;FW;0.3;43.33;33.33;;0
Jean-Philippe Gbamin;MF;0.7;40;25.71;;0
David de Gea;GK;20;26.55;9.1;;0
Joe Gelhardt;FW;3.4;31.47;18.82;;1.47
Anwar El Ghazi;FW,MF;4.3;42.79;31.86;;1.63
Saman Ghoddos;MF,DF;3.9;52.31;29.23;;4.1
Dimitris Giannoulis;DF;6.1;68.69;37.38;;2.62
Morgan Gibbs-White;FW,MF;0.1;130;80;;10
Ben Gibson;DF;16.7;64.91;44.07;1.47;3.59
Billy Gilmour;MF;11.7;72.48;49.06;1.48;5.21
Ben Godfrey;DF;15.5;47.23;22.77;2.07;1.55
André Gomes;MF;3.8;56.58;37.63;;2.89
Toti Gomes;DF;1;39;18;;1
Joe Gomez;DF;0.2;80;35;;0
Charlie Goode;DF;5;66.4;32.4;;2.2
Anthony Gordon;MF,FW;9.8;45.71;30.51;1.5;2.35
Kaide Gordon;FW;0.1;80;70;;0
Dan Gosling;MF;0.2;45;20;;0
Demarai Gray;MF,FW;15.7;42.74;29.81;1.43;1.53
Jack Grealish;FW;12.8;58.05;48.52;1.2;3.44
Mason Greenwood;FW,MF;12.4;46.53;37.02;1.26;2.42
Sam Greenwood;MF;0.1;80;70;;0
Pascal Groß;MF,DF;10.3;71.17;46.8;1.52;3.98
Vicente Guaita;GK;18;33.61;15.94;;0
Marc Guéhi;DF;20;70.75;50.45;1.4;2.9
İlkay Gündoğan;MF;11.8;70.42;54.58;1.29;3.98
Angus Gunn;GK;2;35;16.5;;0
Grant Hanley;DF;16.2;56.36;32.96;1.71;1.23
Jack Harrison;MF,FW;14;48.64;34.64;1.4;3.57
Kortney Hause;DF;4.4;56.36;32.73;;1.36
Kai Havertz;FW,MF;10.4;46.83;35.29;1.33;2.21
