Player;Position;Minutes played;Assists per 90;xA per 90;Key passes per 90;Passes per 90;Accurate passes, %;Progressive passes per 90;Accurate progressive passes, %;Accurate passes to final third, %;Dribbles per 90;Successful dribbles, %;Offensive duels won, %;Defensive duels won, %;PAdj Sliding tackles;PAdj Interceptions
J. McClean;LAMF;1478;0.18;0.16;0.73;29.35;71.78;6.03;68.69;63.08;5.24;67.44;53.24;53.77;0.2;6.18
J. Hunt;RWB;1656;0.11;0.13;0.6;38.04;71.43;12.07;77.03;54.78;3.37;58.06;52.58;61.82;0.66;5.97
S. Morsy;LDMF;1560;0.12;0.05;0.29;50.54;89.16;6.75;76.92;77.14;1.5;61.54;41.94;60.47;0.99;4.87
M. Johnson;LCB;1545;0.06;0.05;0.35;38.85;69.27;10.95;70.21;51.08;2.56;59.09;54.12;66.67;0.44;6.62
S. Berahino;CF;709;0;0.04;0.13;17.14;74.07;1.27;60;33.33;1.27;60;12.05;65;0.4;1.8
S. Cosgrove;CF;882;0;0.07;0.51;16.02;72.61;1.02;80;40;1.43;28.57;24.42;33.33;0.68;2.84
S. Vokes;CF;2023;0.13;0.05;0.22;13.26;57.05;1.56;68.57;43.48;0.49;72.73;30.48;53.57;0.06;1.09
J. Leko;CF;1008;0.27;0.19;1.07;18.75;72.38;3.75;78.57;71.43;10;60.71;42.47;49.09;0.27;3.45
H. Coulson;LB;379;0.24;0.16;0.71;36.33;77.12;7.36;64.52;33.33;5.22;63.64;55.56;67.5;1.35;11.12
L. Evans;RDMF;2006;0.09;0.09;0.13;47.38;82.01;6.91;75.97;59.81;0.9;35;36.76;46.62;0.52;7.8
H. Biggins;LCMF;1708;0.05;0.05;0.11;29.4;84.41;4;73.68;60.71;1.79;52.94;42.59;54.32;0.5;4.56
G. Byers;DMF;317;0;0.1;0.28;47.41;85.63;7.67;88.89;69.57;1.14;25;30.77;51.72;2.21;5.29
P. Dahlberg;GK;1672;0;0;0;17.55;82.21;6.46;78.33;62.9;0;0;100;66.67;0;2.4
W. Grigg;CF;664;0;0.1;0.41;14.77;67.89;1.08;50;66.67;1.22;44.44;29.31;50;0.45;2.93
D. Barlaser;DMF;1934;0.19;0.12;0.37;37.69;75.56;9.17;79.19;64.22;1.16;60;55.93;63.22;0.69;8.07
K. Edwards;LAMF;1002;0;0.08;0.27;26.95;78.67;4.13;73.91;72.73;9.7;63.89;48.68;64.29;0.3;5.22
C. Chaplin;AMF;958;0.19;0.1;0.38;28.28;80.4;2.16;91.3;52.38;1.5;50;44.44;61.54;0.67;3.02
T. Corbeanu;LWB;757;0.24;0.19;0.71;27.11;73.25;6.06;86.27;72.22;13.91;63.25;58.39;60.47;0.2;3.24
B. Peacock-Farrell;GK;2086;0;0;0;20.67;88.31;5.91;88.32;64.29;0;0;100;100;0;2.23
D. Crowley;AMF;796;0;0.14;0.79;41.83;87.3;6.22;87.27;82;6.11;57.41;46.88;63.46;0.18;2.12
D. Jebbison;CF;860;0;0.05;0.42;12.98;72.58;1.36;92.31;100;3.03;55.17;28.43;62.5;0.29;2.45
E. Galbraith;LDMF;1881;0.1;0.08;0.29;38.66;77.72;9;77.13;59.47;2.06;58.14;44.04;60.63;0.66;4.19
D. Kasumu;LCMF;731;0;0.01;0.12;39.27;84.64;5.42;52.27;80.65;2.59;57.14;56.25;77.27;1.07;4.44
A. McCalmont;LCMF;1446;0.06;0.07;0.06;31.06;79.76;4.92;67.09;63.77;1.24;30;31.82;57.58;0.15;4.13
C. Gunter;LB;1304;0.07;0.02;0.28;28.71;72.36;7.87;70.18;48.96;1.31;52.63;56.67;57.78;0.1;5.77
G. Edwards;LAMF;402;0;0.03;0;25.07;59.82;4.93;50;25;4.25;52.63;36.36;63.46;0;8.25
J. Stockley;CF;1574;0;0.14;0.4;17.95;69.11;2.46;69.77;55;0.69;33.33;23.53;57.14;0.27;4.63
C. Walton;GK;1171;0;0;0;19.37;83.73;8.53;84.68;65.38;0;0;100;0;0;3.66
B. Wright;RB;1341;0.07;0.03;0.13;44.77;78.56;9.93;64.86;53.93;0.4;50;40;72.73;0.39;8.83
C. Dunkley;CB;1331;0;0.03;0.07;26.17;74.94;6.02;50.56;37.21;0.27;75;55;67.31;0.33;7.91
L. Bridcutt;DMF;1115;0.08;0.03;0.24;50.77;84.9;8.48;73.33;60.95;1.21;66.67;50.85;61.9;0.88;6.57
E. Bishop;DMF;1386;0;0.04;0;41.49;84.04;4.94;81.58;60;4.68;61.11;55.15;55.22;1;4.36
L. Palmer;LB;2273;0.08;0.04;0.28;36.63;79.57;10.18;74.32;63.41;0.87;63.64;44.44;63.33;0.06;6.75
M. Jacobs;LW;252;0;0.08;0.36;35;75.51;5;78.57;53.85;5.71;56.25;50;70.59;0;3.83
G. Hirst;CF;742;0.12;0.1;0.49;12.01;66.67;1.46;58.33;33.33;2.06;70.59;33.77;69.23;0.22;3.58
M. Butcher;LCMF;1461;0;0.02;0.12;26.43;79.95;4.62;77.33;62.35;1.66;29.63;27.38;61.54;0.39;4.24
G. Thomason;LCMF;610;0;0.1;0.3;29.8;82.18;4.28;68.97;70.97;0.89;66.67;30.43;46.51;0.26;4.87
B. Purrington;LWB;1252;0;0.05;0.36;32.71;75.16;7.69;73.83;60.22;2.3;50;41.07;66.02;0.67;6.63
G. Whyte;LW;1480;0.24;0.24;1.03;28.58;83.62;2.68;79.55;81.48;4.56;68;50.83;53.85;0.41;4.1
E. Kachunga;RWF;1424;0.13;0.19;0.57;22.44;79.44;2.53;70;60;3.03;60.42;39.53;51.43;0.1;2.93
C. Borthwick-Jackson;LCB;1411;0;0.01;0.13;30.87;73.97;7.78;70.49;60.82;1.34;47.62;37.5;57.14;0.87;6.87
A. McGeady;LAMF;1050;0.34;0.36;1.03;28.37;76.13;6.43;86.67;71.79;5.31;67.74;46.49;53.06;0.72;1.33
E. Moore;RCB;1651;0;0.01;0.05;51.73;88.41;8.29;74.34;59.3;0.44;62.5;47.62;68.24;0.51;7.97
O. Finney;LCMF;1060;0.08;0.06;0.25;23.69;77.78;3.57;66.67;73.08;1.27;40;28.57;69.05;0.52;2.6
J. Cousins;LDMF;931;0;0.01;0.19;36.83;85.83;5.03;71.15;59.62;0.29;66.67;69.23;60.38;0.16;6.1
T. Bayliss;LDMF;491;0.18;0.03;0.55;46.01;85.26;4.77;69.23;62.16;1.47;100;60;55.88;1.53;3.37
P. Souaré;LB;663;0;0.05;0.14;31.9;79.57;5.84;58.14;72.41;0.95;71.43;40.91;54.29;1.01;5.84
H. Kane;DMF;1491;0.18;0.12;0.36;55.11;80.72;9.78;69.75;57.81;1.21;45;42.11;56.52;1.48;8.86
M. Smith;CF;2213;0.16;0.15;0.49;21.55;65.09;2.68;80.3;50;1.99;59.18;31.17;47;0.77;2.63
E. Lee;LCMF;1583;0.23;0.23;0.4;30.47;78.73;5.34;77.66;75.95;4.83;48.24;37.88;52.94;0.61;3.49
A. Matthews;RB;993;0;0.07;0.36;34.71;82.25;8.25;86.81;67.65;1.09;50;39.29;66.67;0.38;5.23
T. Edun;LB;395;0.23;0.16;1.14;43.52;69.11;9.8;55.81;55.56;4.33;73.68;61.76;55.26;0.33;5.6
M. Power;RB;1864;0.24;0.23;0.53;54.32;78.76;14.29;83.45;60.07;1.74;63.89;53.25;55.32;0.81;5.27
W. Keane;AMF;1980;0.18;0.06;0.32;27.32;85.36;1.73;57.89;75;1.45;43.75;32.81;46.9;0.52;4.59
J. Jones;LAMF;327;0;0.13;0.55;23.39;61.18;3.85;42.86;75;9.63;60;56.25;38.1;0.45;3.58
L. Gooch;RAMF;1613;0.22;0.18;0.95;30.91;70.58;8.15;74.66;62.07;7.09;64.57;47.96;61.16;0.32;4.52
R. Hoffmann;GK;1862;0;0;0;21.27;91.59;3.58;72.97;41.67;0;0;66.67;0;0;2.27
S. Aluko;RAMF;847;0;0.09;0.21;35.28;84.34;3.61;70.59;59.46;5.63;56.6;34.35;52.46;0.88;5.65
T. Nsiala;RCB;928;0;0;0;35.01;78.12;7.56;65.38;38.78;0.19;100;44.44;79.45;0.32;6.29
D. Davis;DMF;1836;0;0.01;0.05;28.38;81.87;4.51;59.78;70.24;0.59;66.67;35.82;61.87;0.84;6.43
S. Hutchinson;LCB;771;0;0;0;44.24;89.97;7.12;70.49;77.78;0.35;66.67;42.86;71.43;1.47;8.83
M. Pennington;RCB;2385;0;0.03;0.11;30.68;75.52;9.17;69.96;55.11;0.53;78.57;62.16;62.58;0.56;6.21
G. Bazunu;GK;2064;0;0;0;27.3;84.35;10.64;81.56;65.82;0;0;50;50;0;3.06
K. Freeman;RCB;1550;0;0.02;0.12;43.43;83.29;9.64;71.69;69.64;0.64;54.55;43.14;72.22;0.75;5.31
M. Eisa;CF;1190;0;0.04;0.15;11.8;89.1;0.53;71.43;91.67;2.65;48.57;28.57;62.16;0;0.96
L. Leahy;LCMF;2394;0.15;0.16;0.3;31.13;70.05;7.33;76.92;48.77;0.49;53.85;51.85;68.32;0.86;7.43
M. Taylor;CF;1906;0.05;0.09;0.38;18.08;73.11;1.7;69.44;66.67;1.65;62.86;33.33;55.32;0.3;2.88
O. Bogle;CF;211;0;0;0;14.5;64.71;0.43;0;60;1.28;66.67;26.92;60;0;0.7
F. Ladapo;CF;1415;0.13;0.12;0.45;11.89;75.94;1.08;52.94;62.5;2.48;51.28;29.94;57.45;0.11;1.91
J. Brayford;RB;978;0;0;0;26.6;72.32;7.91;68.6;57.35;0.18;50;55.56;56.67;0.74;5.19
L. Murphy;DMF;1823;0;0.04;0.2;43.99;80.02;8.59;65.52;57.53;1.09;54.55;41.18;61.24;0.88;8.26
C. Washington;CF;1492;0.12;0.09;0.48;15.92;76.52;1.93;81.25;72.22;3.74;41.94;27.85;38;0;0.89
F. Kamberi;CF;834;0;0.02;0.32;18.88;70.86;1.83;64.71;73.33;3.45;40.63;18.38;54.72;0.18;3.77
E. Doyle;CF;1748;0.05;0.04;0.26;10.92;66.98;1.49;65.52;52;1.65;53.13;38.24;49.06;0.83;1.75
J. Brown;LAMF;693;0;0.04;0;17.27;64.66;3.64;50;41.67;2.47;52.63;30.56;44.83;0.37;4.26
R. Tafazolli;CB;1596;0;0.02;0.11;22.22;68.02;6.54;55.17;53.62;0.51;100;67.86;74.71;0.24;7.8
T. Darikwa;LB;1941;0.09;0.05;0.32;42.89;76;10.48;65.04;60;1.72;51.35;40.85;62.18;1.42;8.3
C. Kirk;LAMF;488;0.18;0.03;0.18;28.59;78.06;3.87;76.19;38.46;3.32;61.11;41.38;61.54;0.26;1.79
N. Broadhead;CF;819;0;0.06;0.22;23.3;78.77;3.52;56.25;55.56;5.16;29.79;29.25;81.82;0.65;1.95
J. Garner;CF;349;0;0;0;17.02;71.21;1.29;80;37.5;0.77;66.67;31.25;30.77;0.41;0.81
A. Pilkington;LW;273;0;0.14;0.33;33.96;93.2;3.3;80;88.89;2.64;75;41.67;36.36;0;3.96
J. Bostock;RDMF;950;0.19;0.05;0.19;51.44;89.13;9.47;80;81.08;0.95;30;38.46;77.94;0.72;9.33
R. Stewart;CF;2293;0;0.07;0.35;21.31;77.16;1.84;70.21;58.33;2;49.02;29.47;55.95;0.91;3.51
G. Edmundson;LCB;1853;0;0.01;0;43.57;85.4;8.45;67.24;65.45;0.73;53.33;34.09;74.53;0.16;9.68
C. Long;CF;725;0.12;0.12;0.37;11.92;76.04;2.11;76.47;50;1.86;46.67;27.27;59.26;0.36;1.42
J. Griffiths;GK;2183;0;0;0;21.85;89.62;4.29;71.15;53.33;0;0;50;0;0;1.97
M. Clark;LWB;659;0;0.03;0.27;31;71.37;6.56;75;43.75;0.82;16.67;33.33;54.1;0.52;6.24
L. Gregory;CF;1830;0.2;0.07;0.39;14.85;73.84;1.52;51.61;46.88;1.67;52.94;26.64;50;0.69;2.67
E. Chapman;LCMF;1657;0.05;0.04;0.27;35.09;81.11;6.46;70.59;58.41;0.71;61.54;53.13;54.76;0.07;5.73
R. Griffiths;LCMF;285;0;0.14;0;38.21;80.17;5.37;52.94;76.92;1.58;60;26.67;57.89;1.03;6.72
D. Horgan;AMF;862;0.1;0.15;0.42;27.98;69.78;5.01;68.75;75;3.24;58.06;43.64;47.62;0.15;2.21
J. Obita;LWB;2203;0.16;0.09;0.33;18.26;65.77;5.92;70.34;63.16;1.76;46.51;29.73;48.84;0.46;4.2
T. Rowe;LB;1998;0;0.02;0.09;23.92;60.83;6.13;58.82;41.32;2.34;55.77;40.57;64;0.48;7.15
R. Edmonds-Green;RCB;1726;0.1;0.06;0.26;28.99;73.56;8.66;72.29;61.31;0.78;66.67;41.67;64.52;0.85;10.14
S. Ferguson;LWB;1226;0.22;0.18;0.88;27.6;71.54;8.52;83.62;59.42;4.26;63.79;50.56;54.55;0.12;5.02
W. Harding;LCB;1615;0.11;0.06;0.39;28.7;72.82;9.7;77.01;68.42;1.23;54.55;42;64.46;0.55;6.86
J. Maddox;AMF;297;0;0;0;23.94;83.54;3.33;72.73;66.67;3.03;10;7.89;62.86;1.34;5.37
G. Massey;RAMF;526;0.17;0.03;0.17;27.03;79.11;3.59;76.19;80;1.37;62.5;28;38.24;0;4.64
A. O'Brien;LW;721;0.12;0.17;0.75;26.46;81.6;3;66.67;50;3.62;37.93;27.16;65;0.41;4.93
L. Coyle;LCMF;664;0;0;0;29.01;71.5;5.96;68.18;52.08;0.68;40;53.33;48.21;0.6;6.85
R. McKenzie;LB;1915;0;0.04;0.09;20.26;66.59;5.55;66.1;48.86;1.13;54.17;42.86;51.45;0.47;5.78
M. Ihiekwe;LCB;1888;0;0;0;28.55;72.29;9.01;66.67;63.78;0.67;71.43;49.02;65.29;0.38;10.25
Madger Gomes;LCMF;469;0;0.12;0.19;25.71;74.63;3.65;63.16;42.86;2.88;66.67;30;54.55;0.58;5.83
B. Galloway;LCB;1149;0.16;0.03;0.31;38.22;83.4;7.6;59.79;56;1.02;76.92;60.53;67.8;0.77;6.79
C. Evans;LDMF;816;0.11;0.04;0.11;39.04;81.64;5.96;72.22;55.56;0.99;33.33;40.74;61.54;1.13;7.26
V. Hladký;GK;1173;0;0;0;24.4;87.11;8.59;84.82;76.92;0.15;50;50;0;0;2.95
J. Donacien;RB;1915;0.14;0.04;0.33;39.99;81.2;9.4;78;63.08;2.02;65.12;48.78;70.83;0.95;6.6
B. Heneghan;RCB;1967;0;0;0;33.95;71.56;9.11;66.83;48.5;0.41;55.56;35;76.19;0.47;9.69
K. Lee;LDMF;1289;0.21;0.08;0.56;37.77;84.47;4.68;74.63;65;0.84;50;35.29;61.22;1.17;4.1
D. Lloyd;LCMF;1542;0.06;0.14;0.18;18.85;64.09;3.62;74.19;56.52;4.96;61.18;38.95;47.57;0.08;3.61
H. Adelakun;RWF;1084;0.08;0.06;0.33;28.98;73.07;5.4;64.62;60.42;4.9;50.85;33.33;48.84;0.24;1.79
J. Robson;LB;1281;0;0.08;0.49;42.51;75.37;10.96;64.74;50;2.53;50;40.35;56.88;1.38;7.4
K. Agard;CF;368;0;0.01;0.24;15.9;81.54;1.96;87.5;100;1.47;33.33;17.91;66.67;0;3.33
M. Gillesphey;LCB;1571;0;0.05;0.17;57.17;78.96;14.49;66.01;56.57;0.46;50;34.62;58.91;0.52;8.71
T. Clarke;RCB;1916;0;0.01;0.05;33.68;81.59;7.37;66.24;56.99;0.14;0;30.77;75.23;0.32;8.37
C. McLaughlin;LCB;660;0;0;0;31.77;84.98;6.27;69.57;60.61;0.14;0;40;69.23;1.21;7.05
L. Wing;LCMF;1417;0;0.08;0;36.27;83.71;5.97;72.34;59.78;1.27;55;32.88;57.43;0.29;7.24
E. Harrison;CF;220;0.41;0.14;0.41;15.14;56.76;2.45;33.33;20;0.82;0;7.69;33.33;0;6
A. Morgan;LCMF;792;0.11;0.13;0.11;35.8;79.37;8.41;82.43;64.2;2.27;45;51.22;55.17;0.66;4.31
C. Brannagan;LCMF;1997;0;0.08;0.54;41.55;84.82;7.57;77.38;71.76;2.48;54.55;46.03;56.29;1.41;5.85
H. Boateng;AMF;799;0.34;0.18;0.45;25.68;80.7;3.49;67.74;61.54;2.25;55;31.33;57.14;0.36;3.73
B. Worman;LCMF;282;0;0.02;0.32;22.98;70.83;3.51;72.73;20;0.96;0;37.5;73.33;0;2.69
J. Pearce;CB;1108;0;0;0;32.33;84.42;6.5;65;64.86;0.49;83.33;52.17;72.97;0.26;8.24
J. Grimmer;RCB;1257;0;0.02;0.14;22.48;60.83;8.16;74.56;58;1.07;53.33;34.38;45.92;0.49;6.1
S. Winnall;CF;261;0.34;0.16;0.69;19.66;80.7;4.14;83.33;90;2.07;50;35.71;68.75;0;2.18
T. Diagouraga;DMF;1752;0;0.01;0.05;31.23;83.39;4.93;69.79;63.64;1.7;48.48;32.5;66.96;0.62;7.84
A. Baptiste;RCB;644;0;0;0;40.95;82.94;8.25;67.8;58;0;0;37.5;65.31;0.43;7.66
K. Sadlier;RWB;603;0;0.18;0.45;28.21;64.02;6.42;81.4;51.52;7.61;56.86;44.87;65.79;0.5;4.75
T. O'Connor;LCMF;1320;0;0.12;0;27.41;72.14;6.27;66.3;57.47;1.02;73.33;48.98;64.29;0.18;4.31
H. Chapman;AMF;893;0;0.25;0.6;22.68;70.67;4.03;87.5;69.57;7.05;57.14;48.18;49.18;0.4;3.75
J. Rossiter;DMF;983;0;0.01;0.09;35.34;79.02;8.06;78.41;64.04;0.37;25;50;61.54;0.83;8.15
A. Jackson;LCB;996;0;0;0;46.45;88.13;6.69;68.92;55.56;0.27;66.67;50;62.69;0.53;6.71
J. Akinde;CF;1230;0.15;0.07;0.44;11.2;66.01;0.95;61.54;42.86;2.12;37.93;30.83;74.47;0.3;2.17
C. Maguire;CF;1252;0.29;0.19;0.93;39.46;78.14;6.25;81.61;59.72;3.09;48.84;39.86;51.19;0.52;4.3
O. Lee;AMF;791;0;0.06;0.57;19.68;72.25;3.98;68.57;61.54;1.48;38.46;28.57;58.33;0.45;3.77
D. Harvie;LWB;1972;0.14;0.11;0.78;37.47;76.37;6.44;70.92;52.69;2.65;50;39.19;56.8;1.11;5.45
J. McCarthy;RWB;1590;0.06;0.1;0.57;22.7;59.35;7.58;70.15;57.5;1.08;52.63;38;56.79;0.17;4.16
S. Clare;RCB;1333;0;0.03;0.07;32.88;84.6;6.41;77.89;61.84;1.01;80;53.06;63.79;0.52;4.3
J. Dodoo;CF;1621;0.06;0.04;0.22;14.38;66.8;2.28;56.1;52.63;2.22;30;24.06;56.36;0;1.58
V. Johansson;GK;1868;0;0;0;13.88;78.82;10.12;89.52;85.11;0;0;80;0;0.07;4.79
M. Bostwick;RCB;761;0.12;0.04;0.24;28.03;78.48;5.68;75;49.06;0.24;100;100;42.11;0.44;5.88
R. Bowman;CF;1514;0.06;0.04;0.12;11.65;65.31;1.07;55.56;35;1.25;52.38;23.28;43.59;0.86;2.3
C. Robertson;LCB;541;0;0;0;41.59;82.4;12.98;80.77;59.57;0;0;40;71.43;0.23;7.27
S. Wootton;RCB;751;0;0.05;0;40.27;80.65;12.22;78.43;65.06;0.24;0;28.57;60;0.31;9.11
J. Mumbongo;CF;457;0;0.03;0.2;9.26;72.34;0.79;25;20;3.15;56.25;33.96;42.42;0;0.63
T. Naylor;RDMF;1762;0;0.06;0.15;41.88;85.37;6.9;74.81;65.19;0.61;58.33;47.5;59.46;1.05;10.11
L. Akins;LAMF;1943;0.14;0.06;0.37;25.66;71.66;4.49;61.86;57.14;3.2;46.38;32.21;52.63;0.12;6.34
C. Wyke;CF;1447;0.12;0.1;0.44;18.1;80.41;1.06;70.59;72.73;1.12;50;26.89;50;0.93;2.79
S. Fraser;LAMF;1287;0.14;0.29;0.63;33.22;85.05;4.83;76.81;74.14;2.1;40;38.66;54.24;0.47;4.59
M. Penney;LB;1302;0;0.05;0.35;41.82;75.7;10.16;69.39;58.43;3.53;49.02;43.3;69.7;0.49;8.85
A. Forde;RB;868;0.1;0.24;0.62;38.99;77.39;8.61;84.34;61.76;2.49;75;45.83;59.21;0.66;8.29
S. Kashket;RW;938;0.19;0.14;0.48;23.03;69.17;4.13;69.77;47.83;3.93;53.66;41.57;52.83;0.14;4.43
L. Montsma;RCB;1788;0;0.01;0.05;48.83;81.44;11.48;62.72;57.26;1.01;80;56.1;73.28;0.42;7.92
M. Miller;LWB;697;0.52;0.26;1.55;24.92;63.73;6.59;78.43;44.83;6.2;64.58;52.86;52.73;1.56;6.89
K. Vassell;CF;1045;0.09;0.09;0.09;11.97;65.47;1.03;58.33;23.53;2.93;52.94;30.07;56.25;0;3.32
T. Carroll;LCMF;279;0;0.11;0.32;48.39;84.67;9.03;82.14;66.67;0.32;0;42.86;47.37;0.42;4.65
E. Bennett;RWB;2269;0.04;0.13;0.32;27.84;66.38;6.86;73.41;47.01;2.42;60.66;49.25;63.19;1.11;5.09
A. Pierre;LCB;1310;0;0.01;0;19.92;72.41;5.02;63.01;45.31;0.55;50;42.31;75.58;0.27;5.46
M. Maroši;GK;2490;0;0;0;16.81;84.3;8.96;88.71;73.81;0;0;0;100;0;1.41
J. Wildsmith;GK;293;0;0;0;21.19;89.86;6.14;85;33.33;0;0;0;0;0;1.79
D. Gardner;LCMF;396;0;0.08;0.23;26.59;73.5;6.14;51.85;50;2.27;40;48.15;51.35;1.03;4.48
W. Hoolahan;AMF;1095;0.41;0.26;1.15;41.92;76.67;8.3;80.2;68.29;5.18;39.68;33.33;38.18;0.11;3.11
S. Williams;LDMF;1938;0;0.15;0.14;42.17;79.85;9.75;75.24;64.55;1.07;52.17;54.93;65.6;0.71;8.27
C. Masterson;LCB;1389;0;0;0;22.55;77.3;4.67;61.11;61.29;0.58;77.78;47.83;78.21;0.31;7.54
K. Dempsey;AMF;1651;0.05;0.09;0.05;24.91;77.68;3.65;68.66;62.12;3.54;44.62;36.55;50;0.86;3.79
J. Cumming;GK;2061;0;0;0;16.59;78.16;10.31;89.41;75.4;0;0;0;66.67;0;2.27
B. Reeves;LCMF;312;0;0;0;19.9;75.36;2.88;80;45.45;1.15;0;36.36;71.43;0.34;4.14
A. Stewart;RCB;1949;0.05;0.02;0.09;18.52;65.34;6.83;63.51;56.12;0.69;66.67;55.77;54.86;0;6.98
E. Hamilton;LCMF;1707;0;0.08;0.37;25.78;75.87;5.01;63.16;48.53;3.95;61.33;53.37;56.49;0.4;4.03
J. Vela;LCMF;1758;0.05;0.04;0.36;29.39;82.58;4.51;75;59.42;2.2;44.19;40.86;63.1;1.43;5.97
A. Mehmeti;AMF;894;0.1;0.08;0.4;23.15;67.83;4.13;78.05;63.16;8.15;53.09;38.22;65.57;0.15;3.28
S. Seddon;LB;2241;0.16;0.16;0.56;37.23;71.31;9.64;66.25;67.11;1.61;55;47.67;54.6;0.63;7.04
B. Bodin;RWF;323;0;0.07;0.28;27.03;77.32;3.34;58.33;60;8.36;33.33;33.33;61.54;0;3.69
Ryan Williams;LWF;621;0.14;0.13;0.58;27.25;78.19;6.23;74.42;58.82;3.77;57.69;42.11;56.25;1.01;5.29
B. Wiles;LCMF;2145;0.08;0.11;0.29;26.48;77.65;4.49;73.83;67.01;3.9;48.39;38.54;53.17;0.34;6
J. Thorniley;LCB;1815;0.05;0.01;0.1;50.33;84.63;10.96;71.49;57.32;0.15;100;58.82;67.57;0.55;9.27
A. O'Connor;LCB;2322;0.08;0.02;0.04;32.91;81.27;6.71;60.12;52.5;0.39;70;48.57;67.83;0.44;7.2
G. Leigh;LB;1750;0.1;0.09;0.21;32.4;67.46;9.05;69.32;52.25;2.62;60.78;50.56;60.19;0.73;7.68
D. John;LB;1507;0.18;0.18;0.54;41.98;80.8;7.64;69.53;55.22;2.21;59.46;46.38;66.28;0.1;4.78
C. Lakin;AMF;863;0.1;0.05;0.31;27.11;68.85;4.17;72.5;47.92;3.13;56.67;42.03;55.56;0.52;3.88
A. Oshilaja;RDMF;1194;0;0.02;0.23;28.04;70.43;6.48;63.95;51.19;1.28;58.82;52.27;70.27;0.68;9.71
D. Daniels;RCB;1091;0;0.01;0.08;42.98;81.77;9.49;64.35;52.38;0.66;37.5;55.88;81.32;0.12;8.66
K. Hemmings;CF;1067;0.08;0.07;0.17;17.88;77.83;1.94;73.91;69.23;2.61;51.61;27.64;50;0.24;2.33
L. Fiorini;LCMF;1523;0.06;0.07;0.47;27.6;73.02;3.01;60.78;55.36;3.19;48.15;36.96;60.47;0.43;4.03
Alex Gorrin;DMF;987;0;0.02;0;41.58;83.55;6.66;56.16;62.5;0.73;50;34.48;64.29;0.15;11.23
G. Jones;RB;1101;0.16;0.11;0.98;46.19;77.35;12.02;73.47;65.75;1.96;62.5;49.15;65.22;0.13;5.13
D. Gape;LCMF;220;0;0;0;19.23;72.34;3.68;66.67;33.33;0;0;60;56.52;0;6.52
B. Amos;GK;2062;0;0;0;20.6;91.31;6.02;86.96;70.69;0;0;100;66.67;0;2.49
S. Humphrys;CF;429;0.21;0.15;0.21;16.15;72.73;0.84;75;66.67;6.92;60.61;36.84;73.68;0.83;3.75
C. Burgess;LCB;1253;0;0.01;0;57.61;81.3;13.5;65.96;54.55;0.29;50;53.33;63.64;0.35;12.63
T. Pearce;LB;362;0.25;0.06;0.5;34.31;71.01;10.44;76.19;74.07;2.73;90.91;68.42;55.56;0.38;8.08
A. Wildig;LCMF;321;0.28;0.09;0.28;24.95;88.76;3.08;100;90;0.56;100;40;64;2.08;4.58
T. Anderson;LCB;1775;0;0;0.05;39.8;75.8;9.89;57.44;43.7;0.2;50;55.56;62.83;0.28;9.72
T. Flanagan;RCB;2011;0.04;0;0.13;36.74;78.93;8.46;67.2;48.55;1.03;60.87;60.98;73.29;0.59;8.26
W. Burns;RAMF;1220;0.22;0.21;0.81;21.91;74.41;3.02;63.41;70.59;6.27;52.94;42.45;52.73;0.12;4.98
L. Isgrove;RAMF;1188;0;0.15;0.91;36.89;74.13;8.48;83.04;73.53;4.39;51.72;44.76;54.41;1.09;5.05
J. Scowen;LCMF;1817;0.05;0.02;0.1;27.89;70.87;6.14;75.81;56.92;1.19;58.33;51.52;58.24;0.77;7.25
R. Poole;RB;2051;0.04;0.03;0.18;45.2;75.73;11.76;66.79;50;1.93;59.09;49.32;55.7;0.12;6.69
C. Bramall;LB;779;0.12;0.14;0.58;37.09;68.22;7.51;64.62;53.85;3.7;46.88;45.65;65.08;0.5;4.02
J. Wilson;RCB;2017;0.04;0.02;0.18;41.5;77.63;10.89;73.77;57.8;0.54;58.33;57.89;69.68;0.13;7.48
C. Hussey;LWB;2089;0.04;0.11;0.3;33.04;77.44;5.51;66.41;49.47;2.33;64.81;51.94;56.79;0.23;6.56
B. Morris;LCMF;387;0;0.1;0.23;36.74;83.54;7.91;76.47;74.19;0.23;100;50;59.26;0.96;7.66
J. Edwards;RWB;2145;0.04;0.08;0.5;30.5;73.04;7.93;75.66;54.33;1.34;56.25;47.42;55.86;0.62;7.31
C. Grant;LWB;1890;0.1;0.2;0.76;43.24;72.58;10.67;79.46;57.14;4;79.76;64.75;46.39;0.14;5.29
R. Hardie;CF;2013;0.09;0.02;0.22;11.09;68.55;1.21;66.67;38.89;3.31;48.65;26.8;56.47;0.26;1.99
J. Morrell;LCMF;1385;0.06;0.02;0.19;42.56;82.29;6.89;78.3;65.08;2.14;54.55;61.64;57.52;1.06;6.02
J. Garrick;CF;1200;0.23;0.06;0.38;21.45;76.22;2.85;78.95;59.26;6.15;53.66;34.09;67.37;0;3.15
E. Ebanks-Landell;CB;1701;0;0;0;21.9;74.88;5.82;57.27;48.68;0.26;60;54.55;77.31;0.8;6.9
J. Marquis;CF;1307;0.21;0.1;0.28;14.12;67.8;1.51;59.09;45.45;2;37.93;21.31;54.55;0;2.76
S. Raggett;RCB;2170;0;0;0.04;32.76;85.19;5.18;56.8;57.81;0.12;0;29.03;66.02;0.27;7.07
