Player;Position;Minutes played;Assists per 90;xA per 90;Key passes per 90;Passes per 90;Accurate passes, %;Progressive passes per 90;Accurate progressive passes, %;Accurate passes to final third, %;Dribbles per 90;Successful dribbles, %;Offensive duels won, %;Defensive duels won, %;PAdj Sliding tackles;PAdj Interceptions
C. MacGillivray;GK;2372;0.04;0;0.04;20.94;85.69;8.84;86.27;75;0.04;100;33.33;50;0;2.69
S. Long;RB;1567;0;0.09;0.34;43.08;72.67;12.12;72.04;61.49;1.15;70;45.24;58.91;0.27;8.33
O. Evans;GK;687;0;0;0;18.6;78.87;5.37;80.49;46.15;0.13;100;100;33.33;0;1.43
J. Stevens;GK;1271;0;0;0.07;25.14;83.94;7.44;80;49.06;0;0;0;0;0;2.08
A. Gnahoua;LWF;1424;0.13;0.1;0.44;17.57;69.78;2.84;60;46.88;4.8;56.58;38.98;60.53;0.08;3.85
D. Richards;GK;1203;0;0;0;18.1;85.54;5.91;75.95;80;0;0;100;75;0;3.35
T. Thomas;LCB;1129;0;0.01;0.16;38.18;81.42;8.45;63.21;60.87;1.51;84.21;61.22;63.77;0.23;9.66
A. Woodyard;RDMF;2067;0;0.03;0.17;40.19;84.4;6.4;73.47;65.03;1.26;58.62;44.03;60.89;0.59;5.79
B. Halliday;RWB;297;0;0;0;29.09;67.71;7.27;62.5;54.55;1.82;66.67;46.15;61.29;1.14;6.84
D. Johnson;RB;210;0;0;0;35.14;73.17;8.57;45;58.33;3.43;62.5;53.33;66.67;0;7.09
D. Charles;CF;563;0;0.06;0.32;10.23;68.75;0.96;83.33;50;4.96;45.16;38.89;48.57;0.51;2.82
C. John;LCB;270;0;0;0;41.67;80.8;9.33;64.29;60;1;33.33;30;80;0;3.13
T. Perry;AMF;516;0;0.01;0;21.98;72.22;3.49;55;47.06;4.36;44;38.18;72.73;0.23;4.29
C. Seaman;RW;376;0;0.01;0;16.52;71.01;3.59;80;50;4.31;61.11;36.84;65.38;0.83;3.75
J. Bennett;LWF;722;0;0.12;1;23.93;73.44;4.24;76.47;45.45;6.98;60.71;42.57;48.48;0;1.05
P. Kalambayi;RCB;388;0;0;0;28.99;75.2;5.8;68;42.86;0.23;100;22.22;86.67;0;5.54
S. Lavelle;RCB;1264;0;0.01;0;32.75;82.39;5.91;71.08;52.7;0.14;100;63.64;70.42;0.39;5.53
J. Hill;RCB;1225;0;0.01;0;32.03;76.15;8.08;62.73;52.13;0.37;60;50;69.62;0.99;8.84
C. Duffus;RWF;244;0;0;0;8.48;69.57;1.48;75;50;1.11;66.67;36;55.56;0;1.92
S. Tracey;RW;1115;0.16;0.05;0.24;20.5;80.71;2.58;59.38;58.33;6.13;60.53;42.95;60.42;0.3;2.8
N. Holland;LW;1039;0.17;0.06;0.52;23.65;80.95;2.69;70.97;72.73;6.24;50;35.03;44.74;0.12;3.73
