Team;xG for;xG against;Penalties;Penalties conceded;Goals;Goals conceded
Hong Linh Ha Tinh;1.34;0.44;0;0;0;2
Topenland Binh Dinh;0.59;0.93;0;0;1;0
Sai Gon;0.93;0.59;0;0;0;1
Hai Phong;1.69;0.96;0;0;3;2
Nam Dinh;0.96;1.69;0;0;2;3
Ha Noi;2.49;1.21;0;0;1;2
Becamex Binh Duong;1.21;2.49;0;0;2;1
Hoang Anh Gia Lai;1.78;0.84;0;0;2;1
Song Lam Nghe An;0.84;1.78;0;0;1;2
Sai Gon;0.62;1.81;0;0;1;0
Hoang Anh Gia Lai;1.81;0.62;0;0;0;1
Hong Linh Ha Tinh;2.19;1.58;2;0;1;2
Than Quang Ninh;1.58;2.19;0;2;2;1
Da Nang;1.52;1.24;0;0;1;0
Ho Chi Minh City;1.24;1.52;0;0;0;1
Song Lam Nghe An;1.34;1.14;1;0;1;1
Topenland Binh Dinh;1.14;1.34;0;1;1;1
Becamex Binh Duong;1.61;1.14;0;0;1;0
Thanh Hoa;1.14;1.61;0;0;0;1
Viettel;1.39;1.34;0;0;0;1
Hai Phong;1.34;1.39;0;0;1;0
Nam Dinh;1.48;1.64;0;0;3;0
Ha Noi;1.64;1.48;0;0;0;3
