Team;xG for;xG against;Penalties;Penalties conceded;Goals;Goals conceded
Newcastle Jets;1.37;0.69;0;0;1;2
Sydney;1.95;1.23;0;0;2;1
Wellington Phoenix;1.23;1.95;0;0;1;2
Central Coast Mariners;1.2;1.37;0;0;2;0
Western Sydney Wanderers;1.37;1.2;0;0;0;2
Melbourne City;1.46;1;0;0;2;2
Melbourne Victory;1;1.46;0;0;2;2
Western United;0.49;0.54;0;0;1;0
Adelaide United;0.54;0.49;0;0;0;1
Central Coast Mariners;1.57;0.79;0;0;2;0
Sydney;0.79;1.57;0;0;0;2
Western United;3.51;0.3;0;0;1;0
Brisbane Roar;0.3;3.51;0;0;0;1
Adelaide United;1.61;2.43;0;0;1;2
Melbourne Victory;2.43;1.61;0;0;2;1
Western Sydney Wanderers;0.97;2.23;0;0;0;2
Macarthur;2.23;0.97;0;0;2;0
Newcastle Jets;3.08;0.62;0;0;4;0
Wellington Phoenix;0.62;3.08;0;0;0;4
Melbourne City;2.68;0.55;0;0;1;0
Perth Glory;0.55;2.68;0;0;0;1
Macarthur;2.19;2.31;0;0;1;0
Central Coast Mariners;2.31;2.19;0;0;0;1
Melbourne Victory;0.76;0.97;0;0;0;3
Perth Glory;0.97;0.76;0;0;3;0
Brisbane Roar;0.91;1.03;0;0;0;0
Adelaide United;1.03;0.91;0;0;0;0
Melbourne City;2.1;0.43;0;0;0;1
Western United;0.43;2.1;0;0;1;0
Sydney;2.76;1.05;1;0;2;2
Newcastle Jets;1.05;2.76;0;1;2;2
Wellington Phoenix;0.6;1.53;0;0;0;2
Western Sydney Wanderers;1.53;0.6;0;0;2;0
Melbourne Victory;1.7;1.05;0;0;3;0
Brisbane Roar;1.05;1.7;0;0;0;3
Western Sydney Wanderers;2.24;1.86;0;1;2;2
Newcastle Jets;1.86;2.24;1;0;2;2
Wellington Phoenix;2.2;0.92;1;0;2;1
Central Coast Mariners;0.92;2.2;0;1;1;2
Adelaide United;1.29;1.63;0;0;2;2
Melbourne City;1.63;1.29;0;0;2;2
Sydney;1.05;1.12;0;0;0;1
Macarthur;1.12;1.05;0;0;1;0
Western United;1.67;1.56;0;0;1;0
Perth Glory;1.56;1.67;0;0;0;1
Newcastle Jets;2.57;1.07;0;0;1;2
Central Coast Mariners;1.07;2.57;0;0;2;1
Macarthur;1.53;2.71;0;1;1;1
Wellington Phoenix;2.71;1.53;1;0;1;1
Western Sydney Wanderers;0.67;1.28;0;0;0;0
Sydney;1.28;0.67;0;0;0;0
Western United;1.38;0.55;0;0;0;1
Melbourne Victory;0.55;1.38;0;0;1;0
Perth Glory;1.18;1.6;0;0;1;1
Adelaide United;1.6;1.18;0;0;1;1
Melbourne City;2.59;2.02;0;0;2;1
Brisbane Roar;2.02;2.59;0;0;1;2
