Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Bayern Munich,34,20,10,4,72,31,41,70,Qualification to Champions League group stage
2,Schalke 04,34,19,8,7,53,31,22,65,Qualification to Champions League group stage
3,Werder Bremen,34,17,10,7,71,40,31,61,Qualification to Champions League play-off round
4,Bayer Leverkusen,34,15,14,5,65,38,27,59,Qualification to Europa League play-off round
5,Borussia Dortmund,34,16,9,9,54,42,12,57,Qualification to Europa League play-off round
6,VfB Stuttgart,34,15,10,9,51,41,10,55,Qualification to Europa League third qualifying round
7,Hamburger SV,34,13,13,8,56,41,15,52,
8,VfL Wolfsburg,34,14,8,12,64,58,6,50,
9,Mainz 05,34,12,11,11,36,42,-6,47,
10,Eintracht Frankfurt,34,12,10,12,47,54,-7,46,
11,1899 Hoffenheim,34,11,9,14,44,42,2,42,
12,Borussia Mönchengladbach,34,10,9,15,43,60,-17,39,
13,1. FC Köln,34,9,11,14,33,42,-9,38,
14,SC Freiburg,34,9,8,17,35,59,-24,35,
15,Hannover 96,34,9,6,19,43,67,-24,33,
16,1. FC Nürnberg,34,8,7,19,32,58,-26,31,Qualification to relegation play-offs
17,VfL Bochum,34,6,10,18,33,64,-31,28,Relegation to 2. Bundesliga
18,Hertha BSC,34,5,9,20,34,56,-22,24,Relegation to 2. Bundesliga
