Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,VfL Wolfsburg,34,21,6,7,80,41,39,69,Qualification to Champions League group stage
2,Bayern Munich,34,20,7,7,71,42,29,67,Qualification to Champions League group stage
3,VfB Stuttgart,34,19,7,8,63,43,20,64,Qualification to Champions League play-off round
4,Hertha BSC,34,19,6,9,48,41,7,63,Qualification to Europa League play-off round
5,Hamburger SV,34,19,4,11,49,47,2,61,Qualification to Europa League third qualifying round
6,Borussia Dortmund,34,15,14,5,60,37,23,59,
7,1899 Hoffenheim,34,15,10,9,63,49,14,55,
8,Schalke 04,34,14,8,12,47,35,12,50,
9,Bayer Leverkusen,34,14,7,13,59,46,13,49,
10,Werder Bremen,34,12,9,13,64,50,14,45,Qualification to Europa League play-off round
11,Hannover 96,34,10,10,14,49,69,-20,40,
12,1. FC Köln,34,11,6,17,35,50,-15,39,
13,Eintracht Frankfurt,34,8,9,17,39,60,-21,33,
14,VfL Bochum,34,7,11,16,39,55,-16,32,
15,Borussia Mönchengladbach,34,8,7,19,39,62,-23,31,
16,Energie Cottbus,34,8,6,20,30,57,-27,30,Relegated via relegation play-offs
17,Karlsruher SC,34,8,5,21,30,54,-24,29,Relegation to 2. Bundesliga
18,Arminia Bielefeld,34,4,16,14,29,56,-27,28,Relegation to 2. Bundesliga
