Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Borussia Dortmund,34,25,6,3,80,25,55,81,Qualification to Champions League group stage
2,Bayern Munich,34,23,4,7,77,22,55,73,Qualification to Champions League group stage
3,Schalke 04,34,20,4,10,74,44,30,64,Qualification to Champions League group stage
4,Borussia Mönchengladbach,34,17,9,8,49,24,25,60,Qualification to Champions League play-off round
5,Bayer Leverkusen,34,15,9,10,52,44,8,54,Qualification to Europa League group stage
6,VfB Stuttgart,34,15,8,11,63,46,17,53,Qualification to Europa League play-off round
7,Hannover 96,34,12,12,10,41,45,-4,48,Qualification to Europa League third qualifying round
8,VfL Wolfsburg,34,13,5,16,47,60,-13,44,
9,Werder Bremen,34,11,9,14,49,58,-9,42,
10,1. FC Nürnberg,34,12,6,16,38,49,-11,42,
11,1899 Hoffenheim,34,10,11,13,41,47,-6,41,
12,SC Freiburg,34,10,10,14,45,61,-16,40,
13,Mainz 05,34,9,12,13,47,51,-4,39,
14,FC Augsburg,34,8,14,12,36,49,-13,38,
15,Hamburger SV,34,8,12,14,35,57,-22,36,
16,Hertha BSC,34,7,10,17,38,64,-26,31,Relegated via relegation play-offs
17,1. FC Köln,34,8,6,20,39,75,-36,30,Relegation to 2. Bundesliga
18,1. FC Kaiserslautern,34,4,11,19,24,54,-30,23,Relegation to 2. Bundesliga
